날짜,종목명,제목,점수,라벨링
2022-05-14,하이브,하이브 로고는 무슨 의미? [알려드립니다],0,0
2022-05-12,하이브,"""이런 셀카 한장 받자고 돈 냈냐"" 아이돌에 뿔난 팬들, 왜",0,0
2022-05-09,하이브,"""YG 허락 받아야""…2NE1, 美코첼라 비밀리에 등장한 까닭",0,0
2022-05-02,하이브,"""美빌보드보다, 멜론 1위 더 힘들다"" 지금 이런 말 나온 이유",0,0
2022-04-26,하이브,"빌보드 꼽은 '음악산업 파워 플레이어', 하이브·SM 나란히",1,1
2022-04-25,하이브,"K팝 ETF, 뉴욕증시 상장벨 울린다…작년 한국 수익 성적표는",0,0
2022-04-22,하이브,[문소영의 문화가 암시하는 사회] K팝부터 아이스크림·라면에까지 설정된 ‘세계관’이란,0,0
2022-04-21,하이브,르세라핌 미니 앨범 선주문 27만장…30만장 넘길 듯,1,1
2022-04-20,하이브,"빅뱅 컴백, ‘피지컬 앨범’ 아닌 ‘디지털 싱글’이라 실망했다, 이게 무슨 말? [알려드립니다]",3,1
2022-04-18,하이브,"음원 유통 강자 vs 오디션 귀재, IP 알부자 SM 누구 손을 잡나",1,1
2022-04-14,하이브,"""해외 넘어 국내 노린다""…어디서 터질지 모르는 'K팝 로또'",2,1
2022-04-12,하이브,하이브는 내년이 두렵다…이익 67% 안겨주는 BTS 입대 해법은,0,0
2022-04-12,하이브,네이버서 Z세대 뺏어왔다…‘덕질 놀이터’ K팝 팬플랫폼,0,0
2022-04-12,하이브,"한국 정치, 군대 빌미로 BTS 이용하는 짓 멈춰라 [임명묵이 고발한다]",-1,-1
2022-04-01,하이브,타임 100대 기업 신기한 징크스…'BTS의 방시혁'이 못푼 숙제,0,0
2022-04-01,하이브,직원 연봉 2억 시대…연봉킹은 게임·엔터,0,0
2022-03-31,하이브,타임 '영향력 있는 100대 기업'에 하이브…방시혁·방탄소년단 표지모델,1,1
2022-03-31,하이브,직원 연봉 2억 시대…봉급쟁이 ‘부의 지도’가 바뀐다,0,0
2022-03-31,하이브,삼성 빠지고 '아기상어'가 꿰찼다…'타임' 100대 기업 놀라운 변화,0,0
2022-03-31,하이브,BTS 군대 가도 1458만명 팬미팅하는 곳…K팝 키우는 팬플랫폼 [K팝 세계화 리포트],-1,-1
2022-03-31,하이브,하이브 상장 당일 시총 8조…韓엔터계에 떨어진 '다이너마이트' [K팝 세계화 리포트],0,0
2022-03-30,하이브,"가수 찍는 공장?…""재능만 보지 않는다"" 집단 뭉친 K팝 원천기술 [K팝 세계화 리포트]",0,0
2022-03-16,하이브,"CEO보다 훨씬 더 받았다, 임직원 ‘연봉킹’ 누구?",0,0
2022-03-15,하이브,BTS 만든 공신은 400억 받았다…돈방석 앉은 '연봉킹들' 누구,0,0
2022-02-24,하이브,2년 겨울잠 깨어난 K팝 공연…2주 뒤엔 잠실벌에 BTS 뜬다,2,1
2022-02-23,하이브,연일 최다 확진자 난리지만 K팝은 이미 포스트 코로나,-1,-1
2022-02-16,하이브,광고 휩쓸더니 YG·하이브 업고 가수 데뷔…늙지않는 이 신인,3,1
2022-01-20,하이브,"‘제2 브레이브걸스’ 되나…프로미스나인, 역주행 왜",0,0
2022-01-19,하이브,제2의 브레이브걸스 되나? 프로미스나인 역주행 왜?,0,0
2022-01-17,하이브,"범 잡는 7명의 영웅이 떴다, 웹툰 출연한 BTS",1,1
2022-01-16,하이브,"""BTS 출연한 '세븐 페이츠: 착호', 우리도 글로벌 반응 궁금""",1,1
2022-01-12,하이브,"매출 3조' 두나무가 메타버스에 뛰어든 이유?...이석우 대표 ""NFT 자랑할 판 만들 것""",1,1
2021-12-28,하이브,1년새 786% 폭등…현대차 정의선 맹추격한 주식부자 15위는,1,1
2021-12-22,하이브,"이수만·방시혁·봉준호, 美버라이어티지가 꼽은 '세계 리더'",1,1
2021-12-02,하이브,"방탄아빠' 방시혁, '오겜' 황동혁…블룸버그 '올해의 50인' 선정",1,1
2021-11-09,하이브,“방시혁 배우겠다” 서울대 유학 온 ‘미스 인도네시아’,0,0
2021-11-08,하이브,"미스 인도네시아, 장관 보좌관 그만두고 서울대 온 까닭",0,0
2021-11-07,하이브,오은영도 걱정한 걸그룹 오디션…안봐도 포기 못하는 이유,0,0
2021-10-29,하이브,위드 코로나'에 웃는 여행·엔터…주가도 날개 달았다,0,0
2021-09-13,하이브,"카카오만 집중적으로 때렸는데, 네이버 왜 덩달아 폭락했나 [View &amp; Review]",0,0
2021-08-17,하이브,BTS소속사 임원도 아닌데…38세에 연봉 400억 받는 직원,0,0
2021-07-28,하이브,음악예능의 달인 권태은 “가장 애착 가는 건 팬텀싱어”,0,0
2021-07-27,하이브,음악예능 산 역사 권태은 “팬텀싱어 가장 힘들었지만 애착”,0,0
2021-07-25,하이브,[앤츠랩]그냥 기획사 아닙니다…플랫폼 왕국 노리는 엔터 강자[앤츠랩],1,1
2021-07-22,하이브,"대통령 특별사절 된 BTS…팬들 ""부를 거면 군 면제 해달라""",0,0
2021-07-21,하이브,"7년전 부인 사별' 이수만, 청담동 49억 빌라 준 女기자는",0,0
2021-07-13,하이브,"BTS 아버지' 방시혁 자산 두배 됐다···주가 폭등, 3조7000억",1,1
2021-07-01,하이브,증권가 상륙한 메타버스…관련기업 투자 펀드 줄잇는다,1,1
2021-06-30,하이브,증권가에 상륙한 '메타버스'…펀드 출시에 수혜주 찾기 분주,0,0
2021-06-21,하이브,"콘서트 재개 기대감…하이브 최고가, 에스엠 82% ‘껑충’",3,1
2021-06-20,하이브,"콘서트 재개 기대감…하이브 최고가 경신, 에스엠 81% '껑충'",4,1
2021-06-20,하이브,"오리콘 차트 1위 세븐틴, 밀접접촉자로 분류돼 컴백활동 연기",1,1
2021-06-18,하이브,"명품쇼핑·미용실, 강남은 뻔해…복고·개성 ‘강북스타일’ 뜬다",1,1
2021-06-04,하이브,"나는 여기서 BTS 진이랑 이야기 한다! ‘덕질' 문화의 결정판, 팬 커뮤니티 플랫폼 '위버스'",1,1
2021-05-22,하이브,"[폴인인사이트]데이터사이언티스트 차현나 ""데이터가 진짜로 일하게 하려면""",0,0
2021-05-14,하이브,용산 시대 연 하이브의 오감 충족 뮤지엄…K팝 새 성지 될까,0,0
2021-05-10,하이브,"포스트 BTS를 찾아라, 아메리카로 뻗는 K팝 오디션",1,1
2021-05-09,하이브,포스트 BTS를 북?남미에서 찾는다…지도 넓히는 K팝 오디션,1,1
2021-04-28,하이브,타임지 첫 '100대 영향력 기업' 에 화이자·모더나…AZ는 빠져,2,1
2021-04-19,하이브,"‘보상 몸살’ 앓던 네이버, 직원에 매년 주식 1000만원어치 준다",0,0
2021-04-02,하이브,"BTS 소속사 하이브, 저스틴 비버와 아리아나 그란데 품는다",0,0
2021-04-02,하이브,[앤츠랩]BTS 군대 가면 끝? 빅히트 놀라운 광폭행보,-1,-1
2021-03-19,하이브,"방시혁 “빅히트→하이브 변경, 엔터테인먼트로는 한계 있어”",0,0
2021-03-10,하이브,BTS 소속사 '빅히트'에서 '하이브'로 사명 변경 추진,1,1
2023-06-02,하이브,"하이브 美법인 대표, 지분 185억원 어치 매도... 주가 2.7% 하락",-1,-1
2023-06-29,하이브,AI와의 지독한 갈등이 시작됐다 : 10대 사건 [류현정의 아하! 스토리],-1,-1
2023-05-09,하이브,하이브 60%·JYP 40%·YG 30%… 질주하는 ‘K팝’ 관련주,0,0
2023-04-14,하이브,“하이브·JYP·SM 온 뒤 매출 껑충”… 기획사 상권 뜬다,2,1
2023-03-28,하이브,"하이브, SM주식 절반도 못팔았다",0,0
2023-03-25,하이브,하이브 횡재하나… 12만원에 산 SM 주식 15만원에 넘긴다,0,0
2023-03-24,하이브,"하이브, 카카오에 SM 지분 판다… 1100억 차익 예상",0,0
2023-03-12,하이브,"하이브, SM 인수 중단... 카카오에 경영권 넘기고 협력 합의",0,0
2023-03-12,하이브,하이브 “SM 인수 경쟁 과열로 적정가격 넘어”,1,1
2023-03-11,하이브,[단독]SM 놓고 ‘1조 쩐의 전쟁’ 카카오-하이브 전격 합의,1,1
2023-03-06,하이브,"하이브 공개매수 참패, 카카오는 계약해지… SM 운명은",0,0
2023-02-18,하이브,하이브 공화국 vs 카카오 제국... “오만·분열로 망한 J팝처럼 될라”,0,0
2023-02-16,하이브,월가도 울고 갈 ‘쩐’의 드리블⋯ 카카오·네이버·하이브·CJ의 베팅 [류현정의 아하! 스토리],0,0
2023-02-20,하이브,SM “하이브에 합병되면 SM 가수들 뒷전될 것” 또 비판 성명,0,0
2023-02-10,하이브,SM 지분 전쟁… 하이브가 15%이상 인수땐 독과점 심사 받는다,0,0
2023-02-14,하이브,하이브 박지원 대표 “SM 유산 존경… 이수만 경영은 절대 없다”,0,0
2023-02-11,하이브,"SM 놓고, 하이브·카카오 전쟁 시작됐다",0,0
2023-03-13,하이브,카카오가 SM 경영권 가져가고… 하이브는 플랫폼 사업 협업,2,1
2023-03-08,하이브,"“1조 이상 베팅”… 카카오·하이브, SM 놓고 ‘쩐의 전쟁’",0,0
2023-02-11,하이브,"네이버 손잡은 하이브, 카카오와 엔터·플랫폼 ‘원톱’ 싸움",1,1
2023-02-10,하이브,"이수만 지분 사들인 방시혁… 하이브-카카오, SM 주인 놓고 격돌",0,0
2023-02-16,하이브,"SM 처조카의 폭로전 “이수만 역외탈세 의혹, 하이브는 몰랐나”",-1,-1
2023-02-28,하이브,"SM 공개매수 마지막 날, 주가 5%대 급등...하이브 VS 카카오 향방은?",1,1
2023-02-15,하이브,SM 주가 12만원 뚫어…하이브 공개매수 지분확보에도 적신호,0,0
2023-02-14,하이브,"하이브, SM 공개매수 돌입… 고래싸움에 새우들 신났다",0,0
2023-05-11,하이브,K팝이 반도체·AI에 흠뻑 빠졌다,0,0
2023-04-18,하이브,아티스트 속속 복귀하자… 엔터株 상승세,1,1
2023-02-25,하이브,위기인가 성장통인가… 기로에 선 K팝,0,0
2023-04-25,하이브,롯데 13년만에 재계 순위 6위로 밀려… 5위 올라선 기업은,0,0
2023-04-14,하이브,"게임사, 이젠 영화·드라마에도 ‘목숨’건다",1,1
2023-03-13,하이브,경영권 인수전 막 내리니… SM 주가 23% 곤두박질,0,0
2023-03-04,하이브,"이수만 손 들어준 법원...“카카오, SM 신주 취득은 위법”",-1,-1
2023-03-02,하이브,"이복현, SM 시세조종 의혹에 “무관용으로 책임 묻겠다”",-1,-1
2023-02-20,하이브,[7NEWS] 마일리지에 손 대려다 ‘손 덴’ 대한항공,0,0
2023-05-31,하이브,"중국 벗어나니 세계가 보이더라, 中의 압박이 부른 반전",1,1
2023-06-09,하이브,"[김도훈의 유행민감] 유행은 사라지고 개성은 휘발되는, 독점적 ‘멋진 신세계’",0,0
2023-04-29,하이브,[단독] BTS 단체활동 중단 발표전 주식 매도?,-1,-1
2023-04-07,하이브,‘SM 시세조작 의혹’ 카카오 임직원 수사,-2,-1
2023-04-06,하이브,"금감원 특사경, SM엔터 시세조종 의혹 관련 카카오 압수수색",-2,-1
2023-03-27,하이브,"카카오, SM 공개매수 대흥행... SM 주가는 11% 급락",-1,-1
2023-03-21,하이브,SM사태 이후 한풀 꺾인 엔터株… “전망 긍정적”,0,0
2023-03-10,하이브,SM 인수 치열해지자… 엔터주 보유 개미들 신났다,1,1
2023-03-07,하이브,SM 폭등… 카카오 “SM 주식 15만원에 공개매수” 공시,1,1
2023-02-25,하이브,"퀴즈왕 출신 흙수저, 1%의 주주 권리로 K팝 지축 흔들다",0,0
2023-02-17,하이브,"추가 폭로 예고한 이수만 처조카… 국세청, 탈세의혹 확인 착수",-3,-1
2023-02-10,하이브,SM 2대 주주 오르는 카카오 “양측 강점 살려 전방위 시너지 효과”,1,1
2023-02-11,하이브,"이수만, 처조카가 등돌리자 라이벌과 연합… SM 지분전쟁 내막",0,0
2023-05-26,하이브,되살아난 ‘한한령’ 악몽… 네이버·엔터株 제동 걸리나,0,0
2023-05-18,하이브,[단독] 전세계 아미 “BTS 보러 서울 가자”… 방 구하기 전쟁,1,1
2023-04-08,하이브,"발디딜틈 없는 용리단길... 용산, 관광·쇼핑 메카로 뜬다",1,1
2023-03-31,하이브,"“가사가 모든 과정 대변”  SM 주총 앞둔 이수만, 선택한 노래",0,0
2023-04-07,하이브,[일사일언] 있을 때 잘해,0,0
2023-03-24,하이브,"SM, 공개매수 마감 앞두고 4%대 급락",-1,-1
2023-04-10,하이브,"올해 주가 크게 오른 주식, 사연 알고보니",0,0
2023-03-15,하이브,"방시혁 “K팝 성장 둔화, 위기 시작...BTS 돌아와도 해결 안돼”",0,0
2023-03-09,하이브,못말리는 SM 주가,0,0
2023-03-03,하이브,‘BTS 아버지’ 방시혁 입 열었다 “SM 인수에 나선 이유는…”,0,0
2023-03-23,하이브,"올해 경영권 분쟁, 3년전의 2배 넘어… 주가 급등에 개미들 신났다",-1,-1
2023-02-18,하이브,"이성수 SM 대표 “주총후 사임할 것… 이수만, 무릎 꿇고 모두에 용서구해야”",0,0
2023-02-17,하이브,이수만 처조카 “SM 대표 사임... 그의 탐욕‧독재 못 막았다”,-1,-1
2023-03-11,하이브,"BTS, 日 골든디스크 4관왕… 5년 연속 ‘아시아 아티스트상’",2,1
2023-02-24,하이브,"[논설실의 뉴스 읽기] 자본시장 흔드는 행동주의 투자자… 하이에나인가, 창조적 파괴자인가",0,0
2023-02-12,하이브,‘SM 전쟁’ 촉발 이창환 “기업 가치 높여 이익 내는 게 목표… 사회운동 아니다”,2,1
2023-03-02,하이브,"한샘, 공개매수 여파로 주가 20% 급등",1,1
2023-02-17,하이브,"소송 예고장이 불씨였다, 처조카 SM대표가 이수만에 등돌린 이유",0,0
2023-02-15,하이브,"이수만, SM 갈등 후 첫 공식 석상...1시간 내내 ‘K팝 나무 심기’ 강조만",0,0
2023-02-07,하이브,“이수만 퇴진 반대” 김민종에 직원들 “정신 차려야”…SM 내분 터졌다,0,0
2023-02-27,하이브,SM 주가 60% 뛰기 6주 전 경영이슈 거론한 국내 증권사,1,1
2023-02-13,하이브,[Biz 톡] 계란으로 바위 쳐 SM 흔든 ‘행동주의’ 韓 시장서 자리잡나,0,0
2023-02-15,하이브,"KKR·칼라일 출신들, 자본시장 격변 일으키다",0,0
2023-02-14,하이브,"이수만, SM 분쟁 후 첫 공식석상…경영권 질문엔 침묵",-1,-1
2023-01-13,하이브,“BTS 빈자리는 우리에게”… K팝 세대교체 선언,0,0
2023-01-12,하이브,[2030 플라자] “K팝 아이돌은 좋지만 한국은 싫다”,0,0
2023-03-27,하이브,"
			이수만 ""카카오 SM 주식 공개매수에 참여 안해""
		",1,1
2023-02-13,하이브,"
			SM, 튀르키예·시리아 지진에 2억원 기부…같은날 하이브도 5억원 동참
		",1,1
2023-02-03,하이브,"
			방시혁, ‘美빌보드 파워 100’서 18위 올라…특별상도 수상
		",1,1
2022-08-24,하이브,"
			뷔·제니 열애설 또 불지핀 사진 한장…소속사는 이번에도 침묵
		",-1,-1
2021-12-16,하이브,"
			[폴인인사이트]'OTT 전쟁'…넷플릭스 '오징어게임' 다음 전략은?
		",1,1
2023-06-07,하이브,"[단독]좌석랜덤, 환불땐 돈내라?…세븐틴 공연 무더기 신고 당했다",0,0
2023-06-03,하이브,17살 이서 울린 36살 이승기? 국회 추진 '이승기법' 황당 파장,1,1
2023-06-01,하이브,"“브루노 마스가 뉴진스 곡을?”…“AI 작품, 진짜인 줄 알면 큰일”",1,1
2023-05-31,하이브,브루노 마스가 웬 '하입보이'…120만뷰 터진 그 목소리 진실,0,0
2023-04-30,하이브,BTS 프로듀서 접고 가수됐다…'그 좋다는 하이브' 나온 이유,0,0
2023-04-26,하이브,美빌보드 '세계 음악시장 리더'…국내 기획사 관계자 대거 선정,3,1
2023-04-25,하이브,"에코프로, 대기업집단 지정…외국 국적 총수2세 31명",0,0
2023-04-18,하이브,주가 띄워  하이브 막았나…카카오 이어 SM도 전격 압수수색,0,0
2023-04-17,하이브,SM의 간판 NCT·에스파가 하이브 팬플랫폼으로…시동 건 K팝 플랫폼 협업,2,1
2023-04-07,하이브,"[Biz &amp; Now] 검찰·금감원, SM엔터 시세조종 의혹 수사 착수",-4,-1
2023-04-06,하이브,금감원 특사경 'SM 시세조종 의혹' 카카오 압수수색,-2,-1
2023-04-03,하이브,"3월 주총서 10전 7패, 행동주의 펀드 “이제 시작일 뿐…”",0,0
2023-04-02,하이브,"주총 시즌 달궜던 행동주의, 10전 7패...""올해로 끝 아니다""",0,0
2023-03-31,하이브,"SM, 주총으로 인수전 마침표…이수만 지우고 ‘SM 3.0’ 본격화",0,0
2023-03-31,하이브,"""한시대 마감"" SM 주총날...이수만은 대표곡 '행복' 가사 읊었다",0,0
2023-03-28,하이브,"카카오, SM 주식 공개매수 성공…지분 39.87% 확보",2,1
2023-03-28,하이브,"카카오, SM 공개매수 흥행 성공…SM 주가는 9만1100원으로 급락",1,1
2023-03-27,하이브,SM 최대주주 등극한 카카오…이수만과 불편한 동거는 계속,0,0
2023-03-27,하이브,"카카오, SM 공개매수 흥행…목표 수량보다 2배 넘게 몰렸다",2,1
2023-03-24,하이브,하이브 '15만원 공개매수' 참여...12만원에 산 '이수만 지분' 판다,1,1
2023-03-20,하이브,BTS도 거쳐간 교육 시스템 만든 그녀…“아이돌도 스스로 판단하는 힘이 가장 중요”,0,0
2023-03-17,하이브,"하이브+YG 연합, 글로벌 차트 톱10 올킬 [더 차트]",4,1
2023-03-16,하이브,[트랜D] SM 인수전 이후 '팬덤 플랫폼'의 미래는,2,1
2023-03-16,하이브,[사설] 포스트 BTS가 없다…방시혁이 던진 K팝 위기론,0,0
2023-03-16,하이브,"“K팝, 반짝 인기로 끝날 우려…엔터계의 삼성·현대차 나와야”",-1,-1
2023-03-15,하이브,"SM 인수전서 발 뺀 방시혁 ""전쟁으로 본적 없어…난 만족한다""",0,0
2023-03-15,하이브,"SM 전쟁에서 발 뺀 하이브, 남은 과제들",0,0
2023-03-14,하이브,"쩐의 전쟁 끝나자…SM 주가는 급락, 카카오·하이브는 상승",0,0
2023-03-13,하이브,카카오는 ‘저주 없는 승자’ 될 수 있을까?  카카오엔터의 미래는,0,0
2023-03-13,하이브,"쩐의 전쟁' 끝나자...SM주가는 급락, 카카오와 하이브는 상승",0,0
2023-03-13,하이브,"카카오, SM 인수전 승리…경영권 확보 청신호",1,1
2023-03-13,하이브,아이유·아이브에 NCT·에스파 가세…카카오 단숨에 ‘K팝 강자’로,0,0
2023-03-13,하이브,"[사설] SM 인수전 타결…K팝 재점검, 재도약의 계기 돼야",0,0
2023-03-12,하이브,"반전의 38일, 방시혁 결국 손 뗐다…'쩐의 전쟁' 승자는 카카오",0,0
2023-03-12,하이브,아이브·아이유에 NCT·에스파 더한다…카카오 'K팝 종가' 승계,0,0
2023-03-12,하이브,SM “하이브 인수 중단 결정 존중…카카오와 글로벌 엔터로 도약할 것”,1,1
2023-03-12,하이브,"하이브는 포기, 카카오가 SM 갖는다...이렇게 끝난 '쩐의 전쟁'",-1,-1
2023-03-12,하이브,"[포토타임]쇼트트랙 박지원, 세계선수권 2관왕",0,0
2023-03-11,하이브,[단독]SM 인수 과열 부담?…카카오·하이브 협상 테이블 앉았다,0,0
2023-03-08,하이브,카카오·하이브 끝모를 '쩐의 전쟁'…SM 주가 15만원도 뚫었다,0,0
2023-03-08,하이브,"카카오, SM에 1조2500억 베팅…하이브도 판돈 키우나",0,0
2023-03-08,하이브,[분수대] 공개매수,0,0
2023-03-08,하이브,"카카오, 성장동력 잃어 작년 역성장…해외시장 개척 위해선 ‘K-엔터’ 절실",0,0
2023-03-07,하이브,카카오 반격에 SM 15만원 턱밑…'쩐의 전쟁'에 개미 또 웃는다,0,0
2023-03-07,하이브,"카카오, 15만원에 SM 주식 산다…1조원대 ‘쩐의 전쟁’ 발발",0,0
2023-03-07,하이브,카카오 공개매수 참전에 SM 주가 13% 껑충...15만원선 넘나,1,1
2023-03-07,하이브,"밀리던 카카오, 하이브에 대반격 ""SM주식 15만원에 사겠다""",0,0
2023-03-06,하이브,"19.43% 확보에도 불안하다…하이브, 카카오에 “SM 넘보지마”",0,0
2023-03-05,하이브,[세컷칼럼] SM 경영권 분쟁과 ESG,0,0
2023-03-05,하이브,하이브 1승에도 카카오 발 못뺀다? 'SM 전쟁' 마지막 승부처,0,0
2023-03-03,하이브,"SM 가처분', 이수만 완승...법원 ""카카오에 2170억원 지분 발행 금지""",-3,-1
2023-03-03,하이브,"카카오 막은 이수만 입 열었다 ""방시혁, 음악에 미친 사람""",0,0
2023-03-03,하이브,[김원배의 시선]SM 경영권 분쟁과 ESG,0,0
2023-03-02,하이브,"""SM 시세조종 의혹, 사실 땐 책임 묻겠다"" 이복현 금감원장 경고",-2,-1
2023-03-01,하이브,"""SM 사자"" 의문의 68만주...금감원 ""불공정 의혹 사실땐 엄단""",-1,-1
2023-03-01,하이브,공개매수 힘들게 SM주가 띄웠나…‘66만주’의문의 계좌,0,0
2023-02-28,하이브,"공개매수 힘들게 SM주가 띄웠다...""66만주 사자"" 의문의 계좌",0,0
2023-02-28,하이브,"""SM 주식 비정상적 대규모 매입""…하이브, 금감원에 조사 요청",-2,-1
2023-02-27,하이브,"하이브가 SM 인수했는데, 샤이니·엑소·레드벨벳 나가버리면?",0,0
2023-02-27,하이브,"카카오엔터 “하이브, SM파트너십 위협…기존전략 전면수정 불가피 판단”",0,0
2023-02-24,하이브,"“법적 조치 취하겠다”는 하이브, “졸속 적대적 인수”라는 SM",1,1
2023-02-24,하이브,SM 주총 한달 앞…‘지분 18%’ 기관투자가 표심 어디로,0,0
2023-02-23,하이브,"지분 1%도 안되는 개미, 하이브-카카오 'SM 전쟁' 변수로 떴다",1,1
2023-02-23,하이브,"하이브 막을 SM의 해외 전략  “미국 제작 센터 설립, 동남아 멤버 모아 신규팀 결성”",5,1
2023-02-23,하이브,"이수만·SM 법정공방 첫날…하이브, SM 최대주주 됐다",0,0
2023-02-22,하이브,"""개척자""vs""비정상""…SM 심문서 뜻밖의 '이수만 기여도' 공방",0,0
2023-02-22,하이브,BTS·에스파가 한 집에…'무적함대' 하이브에 떨고 있는 가요계,0,0
2023-02-21,하이브,비틀스·엘비스 이어 'BTS 레고' 나온다…K팝 아이돌 최초,0,0
2023-02-20,하이브,SM “하이브에 인수되면 SM 가수는 뒤로 밀릴 것…K팝 경쟁력 떨어진다”,0,0
2023-02-20,하이브,"SM, 하이브 공개매수 반대…""우리 아티스트 후순위 밀릴 것""",0,0
2023-02-20,하이브,[분수대] 이수만의 퇴장,0,0
2023-02-20,하이브,[e글중심] SM 경영권 분쟁 “이수만이 SM 정체성” “K팝의 미래는”,-1,-1
2023-02-19,하이브,"尹대통령, '국내 엔터 재편' 속 K-콘텐트 수출전략 논의",2,1
2023-02-17,하이브,이성수 “SM 대표 사임…이수만 탐욕·독재 막지 못했다”,-1,-1
2023-02-17,하이브,"에스엠 “하이브, 이수만 역외탈세 의혹 왜곡…동조냐 묵인이냐”",-1,-1
2023-02-17,하이브,SM 인수전…진흙탕 싸움,-1,-1
2023-02-16,하이브,"처조카 SM 이성수 폭로…국세청, 이수만 '탈세 의혹' 확인 착수",-5,-1
2023-02-16,하이브,"""심플한 게임"" 이수만 녹취 깠다…'선생님' 호칭 버린 SM의 반격",0,0
2023-02-16,하이브,"SM 이성수의 반격 ""이수만, 에스파까지 부동산 욕심에 동원""",0,0
2023-02-15,하이브,"이수만 지지한 연제협 ""SM, 공룡기업과 야합에 경악과 분노""",0,0
2023-02-15,하이브,SM 주가 12만원 뚫었다…하이브 경영권 확보에 빨간불,0,0
2023-02-15,하이브,"CJ ""지분 인수 사실무근""이라는데…SM 주가는 12만원 육박",1,1
2023-02-15,하이브,[역지사지(歷知思志)] 견훤,0,0
2023-02-15,하이브,공개매수가 턱밑까지 오른 에스엠 주가…하이브 속탄다,0,0
2023-02-14,하이브,"김민종 부축 받으며 나타난 이수만, SM 분쟁 묻자…",-1,-1
2023-02-14,하이브,"12만원 턱밑까지 간 SM, 코스닥 9위로 껑충…속타는 하이브",1,1
2023-02-14,하이브,[사랑방] 기업들 튀르키예·시리아 지진 구호 성금,0,0
2023-02-13,하이브,"뉴진스' 민희진 나서나…이수만 vs SM 대결, 누가 이사 될까",0,0
2023-02-13,하이브,하이브·카카오 ‘SM 지분’ 인수전 가열…가처분·공정위 심사가 변수,-2,-1
2023-02-13,하이브,[사설] 하이브의 SM 인수 추진…K팝 혁신 계기 돼야,3,1
2023-02-12,하이브,BTS·엑소 품은 ‘슈퍼공룡’ 등장…K팝 시장에 어떤 영향 미칠까,1,1
2023-02-12,하이브,이수만·방시혁 손잡고 김범수 허찔렀다...서울대 3인 'SM 전쟁',1,1
2023-02-12,하이브,SM 향한 하이브 vs 카카오 '쩐의 전쟁'…이수만 변심도 변수,0,0
2023-02-12,하이브,"SM 품는 하이브, 공정위가 '키맨'…美보다 동남아 심사 더 관심",0,0
2023-02-10,하이브,"이수만·방시혁 손잡자, SM 17% 급등, 하이브·카카오는 미끌",1,1
2023-02-10,하이브,한때 '적'과 손 잡고 반격 나섰다…다 내려놓은 이수만 득과 실,0,0
2023-02-10,하이브,"벼랑 끝 이수만, 방시혁 손잡다…하이브-SM 지분인수 막전막후",0,0
2023-02-10,하이브,"하이브, SM 인수…이수만 지분 14.8% 매입, 최대주주 됐다",1,1
2023-02-10,하이브,SM 사태…고래들 싸움에 개미들은 콧노래,-1,-1
2023-02-09,하이브,"""이수만 일 안해도 10년간 500억원""…2092년까지 '황제계약'",0,0
2023-02-09,하이브,이수만 vs '이수만 없는 SM' 충돌...고래 싸움에 웃는 일반주주,1,1
2023-01-16,하이브,"[박상욱의 미래를 묻다] 세계 휩쓰는 K팝, 한국 산업화 성공 공식 따라왔다",2,1
2023-01-09,하이브,"[단독] CES 찾은 이수만 ""꼬리 9개 구미호처럼 살라"" 외친 까닭",0,0
2023-01-06,하이브,"차트는 모두 걸그룹 차지…NCT 드림, ‘나 홀로 보이그룹’  [더 차트]",1,1
2022-12-30,하이브,뉴진스 열흘만에 차트 1위…'밀리언 셀러' 기록 NCT드림 [더 차트],3,1
2022-12-07,하이브,한한령 해제 기대감에…콘텐트 제작·배급사 주가 급등,4,1
2022-12-06,하이브,"내년엔 중국에서 아이돌 공연 할 수 있을까…뛰어버린 주가, 업계는 ‘신중’",1,1
2022-11-30,하이브,게임강자 엔씨 'K팝 굴욕'…하이브에 밀린 '유니버스' 매각한다,0,0
2022-11-19,하이브,"BTS의 하이브, 게임사 선언…“내 약점” 방시혁 부산 달려간 이유",0,0
2022-11-02,하이브,“아티스트 발굴하고 곡 매칭해요” 방송사도 A&amp;R팀 시대,0,0
2022-11-01,하이브,워너원ㆍ케플러ㆍ스맨파 숨은 조력자…방송사도 A&amp;R 시대,0,0
2022-10-18,하이브,"BTS 결국 군입대...하이브 ""다양한 콘텐츠 준비"" 주주 달랬다",1,1
2022-10-17,하이브,"""때 되면 갈테니 닥치길"" 가사대로…진부터 군대 가는 BTS",-1,-1
2022-10-13,하이브,"""청소년들이 꿈꿀수 있게 돕겠다""...50억 쾌척한 'BTS 아버지'",0,0
2022-09-26,하이브,블랙핑크 K팝 걸그룹 최초 빌보드 정상…점점 커지는 존재감,2,1
2022-09-15,하이브,"‘시총 2조 시대’ 맞은 JYP, 음악 집중 고집으로 CJ에 역전",0,0
2022-09-15,하이브,‘해리 포터’ 쿠아론 감독도 반했다…오겜 주역들에 쏟아진 러브콜,0,0
2022-09-14,하이브,오겜' 배우들 모시기 전쟁…넷플릭스·디즈니·애플TV 줄섰다,1,1
2022-09-08,하이브,유통업계 ‘BTS 부산 엑스포 콘서트’ 이벤트 나서,1,1
2022-09-03,하이브,고무줄 바지'로 삼촌팬 성적 판타지 깼다…뉴진스 대박 비결,2,1
